Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	52.62168	56.658955	129.54877	-16.54622	709.2	-33.55566	0.060380552	-33.092518	-33.57714	112000	-1.4960765e-08	2327.7913	-0.0073510394	-30.43628	1.1012082	0.009333976	0.07175	79.0	117.9411051273346
28	135.79659	26.177132	166.06067	94.15702	1000.0	-32.613354	0.053634968	-32.178852	-32.630924	116000	-2.7894973e-08	3488.3037	-0.007003718	-159.07349	1.0729997	0.012981235	0.083	79.0	124.17907190322876
29	-0.08903694	67.70185	139.08311	-81.38639	476.25	-30.3131	0.049493965	-29.924314	-30.340914	120000	-7.152557e-09	1815.1938	-0.007343967	0.18359375	1.092625	0.00949354	0.04075	79.0	129.57559204101562
30	31.494074	67.32302	122.602135	-62.12234	650.3333	-30.141811	0.07575214	-29.526983	-30.173584	124000	8.940697e-09	1866.9651	-0.0095098205	-2.217041	1.0700495	0.01520572	0.1425	70.0	136.80240082740784
31	81.384674	51.041725	116.61363	-6.5817156	842.0	-29.885305	0.057118908	-29.346333	-29.907127	128000	-5.4836273e-09	2395.2476	-0.00768324	-93.44043	1.0952891	0.01561012	0.18775	36.0	142.51709985733032
32	11.409324	90.60233	130.36035	-156.77983	538.7143	-28.054407	0.07387988	-27.428272	-28.093544	132000	-1.2874604e-08	4388.456	-0.0073728533	-1.9960938	1.0672889	0.008618616	0.07425	79.0	148.14084386825562
33	21.503506	91.05822	144.91219	-104.93075	787.75	-28.110355	0.048989557	-27.6109	-28.130737	136000	-5.9604646e-09	3291.3765	-0.0056409654	-0.67993164	1.092779	0.01565575	0.256	18.0	154.66202306747437
34	9.229182	81.65322	117.37699	-125.085396	746.2	-28.263735	0.03347478	-27.99302	-28.282278	140000	-9.536744e-10	1825.8094	-0.0043681664	-1.1639404	1.0662508	0.015044459	0.14325	11.0	160.60924696922302
35	-68.351135	93.299576	76.90183	-243.06224	547.1429	-28.02646	0.16427296	-24.617634	-28.078245	144000	8.404255e-09	5496.816	-0.007936092	-156.46875	1.0424281	0.006721834	0.076	79.0	166.03931307792664
36	28.896917	56.087017	93.60365	-47.11596	716.0	-30.520863	0.024178673	-30.3072	-30.533257	148000	-1.7285346e-08	1107.8383	-0.005661544	-18.405273	0.8915166	0.007374905	0.063	79.0	171.82431197166443
